,county_fips,state_officer_id,black_stop_percentage,black_stops,hispanic_stop_percentage,hispanic_stops,other_stop_percentage,other_stops,white_stop_percentage,white_stops,total_population,white,black,asian,hispanic,other,white_percentage,black_percentage,hispanic_percentage,asian_percentage,other_percentage
4524,45055,sc20,0.5607476635514018,540.0,0.006230529595015576,6.0,0.0020768431983385254,2.0,0.43094496365524404,415.0,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
4525,45055,sc23,0.5625,9.0,,,,,0.4375,7.0,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
4526,45055,sc24,1.0,1.0,,,,,,,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
4527,45055,sc27,0.3333333333333333,1.0,,,,,0.6666666666666666,2.0,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
4528,45055,sc28,0.5384615384615384,161.0,0.006688963210702341,2.0,,,0.45484949832775917,136.0,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
4529,45055,sc29,0.6666666666666666,2.0,,,,,0.3333333333333333,1.0,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
4530,45055,sc2A81,0.6666666666666666,2.0,,,,,0.3333333333333333,1.0,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
4531,45055,sc3,0.11538461538461539,3.0,,,0.038461538461538464,1.0,0.8461538461538461,22.0,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
4532,45055,sc31,1.0,2.0,,,,,,,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
4533,45055,sc34,0.6666666666666666,2.0,,,,,0.3333333333333333,1.0,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
4534,45055,sc381,0.4791044776119403,321.0,0.04776119402985075,32.0,0.0029850746268656717,2.0,0.4701492537313433,315.0,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
4535,45055,sc438,1.0,1.0,,,,,,,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
4536,45055,sc44,1.0,1.0,,,,,,,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
