,county_fips,asian_population,asian_percentage,asian_stop_percentage,asian_stops,black_population,black_percentage,black_stop_percentage,black_stops,hispanic_population,hispanic_percentage,hispanic_stop_percentage,hispanic_stops,other_population,other_percentage,other_stop_percentage,other_stops,total_population,white_population,white_percentage,white_stop_percentage,white_stops,total_stops,white_stop_proportion_excess,black_stop_proportion_excess,hispanic_stop_proportion_excess,asian_stop_proportion_excess,other_stop_proportion_excess,location_text
578,51117,44,0.0014098497228363614,0.022815718119108163,1624.0,11065,0.3545451632541895,0.4358729400525436,31025.0,845,0.027075523086289213,0.04728922856460474,3366.0,74,0.0023711108974975173,0.02389749785751416,1701.0,31209,18749,0.6007561921240667,0.4701246154062294,33463.0,71179.0,-0.21744524389498032,0.22938622558516353,0.7465674961807685,15.183085154073787,9.078608251826477,"Census Tract 9301.01, Mecklenburg County, Virginia"
579,51119,0,0.0,0.012100926879505664,94.0,2110,0.19668158090976884,0.2584963954685891,2008.0,69,0.006431767337807606,0.01918125643666324,149.0,63,0.00587248322147651,0.006307929969104015,49.0,10728,8329,0.77637956748695,0.7039134912461379,5468.0,7768.0,-0.09333846391060541,0.3142887822687317,1.9822683920655542,inf,0.07415036045314083,"Census Tract 9509, Middlesex County, Virginia"
580,51121,6032,0.06204037972991041,0.02427211567987048,1739.0,4014,0.0412848282884384,0.1344387683890238,9632.0,3152,0.03241897826735372,0.050749518465790136,3636.0,652,0.006705956164439919,0.02376964520001117,1703.0,97227,81878,0.8421323294969504,0.7667699522653044,54936.0,71646.0,-0.08948994664135956,2.2563722307323406,0.5654262156958687,-0.6087690664445013,2.5445571991740583,"Census Tract 201, Montgomery County, Virginia"
581,51125,49,0.003303890499629155,0.013702222513603882,209.0,1929,0.13006540354662532,0.1526257129744968,2328.0,544,0.036679927179556336,0.035402871566249265,540.0,43,0.002899332479266401,0.009309644004458141,142.0,14831,12123,0.8174094801429438,0.7889595489411919,12034.0,15253.0,-0.034804992959925896,0.1734535765291665,-0.034816198163524215,3.147299226515493,2.210961168142296,"Census Tract 9501, Nelson County, Virginia"
582,51127,196,0.00977507356241584,0.03374220109502992,1590.0,2431,0.12124083586853525,0.3344934425533721,15762.0,616,0.030721659767592637,0.04779084079623106,2252.0,175,0.008727744252157,0.014451848393531684,681.0,20051,16014,0.7986634083088126,0.5695216671618353,26837.0,47122.0,-0.2869065225264169,1.7589173248201,0.5556073844240732,2.4518616028390046,0.6558514979354504,"Census Tract 7001, New Kent County, Virginia"
583,51131,99,0.008169664961214722,0.021027502534419047,643.0,4313,0.35591681795675856,0.345563949115406,10567.0,1005,0.08293447763657369,0.0615128029039537,1881.0,22,0.0018154811024921605,0.018313221491873508,560.0,12118,6561,0.5414259778841393,0.5535825239543477,16928.0,30579.0,0.02245283116579566,-0.02908788885219349,-0.2582963725471532,1.573851269819091,9.087255365387417,"Census Tract 9301, Northampton County, Virginia"
584,51133,6,0.0004889178617992178,0.004017677782241864,30.0,3553,0.2895208604954368,0.3652069104057855,2727.0,44,0.003585397653194263,0.05731886969331726,428.0,60,0.004889178617992178,0.0013392259274139548,10.0,12272,8578,0.6989895697522817,0.5721173161912415,4272.0,7467.0,-0.18150807830509263,0.26141829566557817,14.98675383809976,7.217490290612025,-0.7260836569795992,"Census Tract 201, Northumberland County, Virginia"
585,51135,92,0.005881976855699763,0.006416221775971004,131.0,6075,0.38840227606930505,0.3897732281921928,7958.0,598,0.03823284956204846,0.0472645344565803,965.0,45,0.0028770538968096674,0.0044080912964686286,90.0,15641,8605,0.5501566396010485,0.5521379242787873,11273.0,20417.0,0.003601310127194779,0.003529722165281912,0.2362284003935995,0.09082744345611382,0.5321545770681291,"Census Tract 1, Nottoway County, Virginia"
586,51137,345,0.009893040461101713,0.008306941487980894,160.0,4271,0.12247297336047945,0.1561704999740408,3008.0,1545,0.04430361597797723,0.03748507346451378,722.0,140,0.004014567143635477,0.0020767353719952234,40.0,34873,27677,0.7936512488171364,0.7959607497014692,15331.0,19261.0,0.0029099694453640357,0.27514255340546123,-0.1539048757747643,-0.16032472315838353,-0.48270005266007554,"Census Tract 1101.02, Orange County, Virginia"
587,51139,209,0.004744716111602989,0.022503458940343453,553.0,451,0.010238597925038027,0.04427443639619109,1088.0,1793,0.04070466979954142,0.02197444453487426,540.0,329,0.007468955027355898,0.013062586473508586,321.0,44049,40421,0.9176371767804036,0.8981850736550826,22072.0,24574.0,-0.021198032967201796,3.3242675140040374,-0.46014929876370536,3.7428462337951593,0.7489175427707593,"Census Tract 301, Page County, Virginia"
588,51141,49,0.0026952695269526947,0.006285785411999004,101.0,1051,0.05781078107810781,0.1467513069454817,2358.0,518,0.028492849284928488,0.03740353497635051,601.0,84,0.004620462046204621,0.0012447099825740602,20.0,18180,16360,0.8998899889988999,0.8083146626835948,12988.0,16068.0,-0.10176280149219119,1.538476460769607,0.31273410399624013,1.3321546691865698,-0.7306091966286141,"Census Tract 301, Patrick County, Virginia"
589,51143,261,0.004183228619053725,0.005580923389142567,363.0,13160,0.210924477497115,0.3341020555632428,21731.0,1602,0.02567636876522631,0.026643912488661343,1733.0,77,0.001234132581100141,0.006549513398828468,426.0,62392,46346,0.7428195922554174,0.6271235951601248,40790.0,65043.0,-0.15575248458916613,0.5839890160107786,0.03768226466451852,0.334118667032119,4.306977142593581,"Census Tract 101, Pittsylvania County, Virginia"
590,51145,59,0.00208583751679276,0.01591069480977738,496.0,3368,0.11906950434844092,0.19888368512221724,6200.0,586,0.020716962454924697,0.03823699236543273,1192.0,118,0.00417167503358552,0.011195226791557069,349.0,28286,23738,0.8392137453157039,0.7357734009110156,22937.0,31174.0,-0.123258639389629,0.6703158899545834,0.8456852662945908,6.6279646337180145,1.6836286866608745,"Census Tract 5001.01, Powhatan County, Virginia"
591,51147,297,0.012869957100143,0.0068607335214157465,107.0,7514,0.3256055813147289,0.3215568094383175,5015.0,585,0.025349915500281667,0.01731213131572198,270.0,127,0.005503314988950037,0.0017312131315721981,27.0,23077,14360,0.6222645924513585,0.6525391125929726,10177.0,15596.0,0.04865216582925003,-0.012434589911092031,-0.31707341132834854,-0.46691869537470987,-0.6854235792339243,"Census Tract 9301, Prince Edward County, Virginia"
592,51149,783,0.02078908241291419,0.014718213513394238,667.0,11770,0.3125,0.3592391544198773,16280.0,3104,0.08241291418861513,0.08513173573414537,3858.0,442,0.011735344095157179,0.016968974800300102,769.0,37664,21083,0.5597652931180969,0.523941921532283,23744.0,45318.0,-0.0639971288435276,0.14956529414360742,0.03299023669164014,-0.2920219747528984,0.44597164452150007,"Census Tract 8501, Prince George County, Virginia"
